Date,Open Price,Close Price,High Price,Low Price,Volume
04-Jan-10,2974.86,3017.8,3017.8,2974.86,0
05-Jan-10,3016.64,3012.36,3025.6,3006.47,0
06-Jan-10,3010.89,3009.66,3016.83,2997.05,0
07-Jan-10,3000.14,3007.34,3013.9,2979.8,0
08-Jan-10,3012.97,3017.85,3024.58,2993.73,0
11-Jan-10,3030.42,3010.24,3044.37,3007.34,0
12-Jan-10,3010.58,2976.89,3019.17,2966.15,0
13-Jan-10,2967.43,2978.41,2986.22,2964.11,0
14-Jan-10,2991.06,2989.71,3001.58,2972.54,0
15-Jan-10,2995.5,2940.25,3008.82,2939.04,0
18-Jan-10,2949.94,2957.87,2960.53,2939.16,0
19-Jan-10,2952.05,2984.82,2990.5,2923.57,0
20-Jan-10,2979.47,2914.6,2984.36,2904.88,0
21-Jan-10,2914.68,2863.25,2943.95,2863.25,0
22-Jan-10,2850.68,2836.8,2860.96,2806.51,0
25-Jan-10,2825.15,2807.3,2845.15,2806.46,0
26-Jan-10,2788.71,2827.74,2828.27,2776.67,0
27-Jan-10,2809.86,2787.4,2813.23,2769.58,0
28-Jan-10,2806.29,2737.33,2825.27,2737.33,0
29-Jan-10,2752.5,2776.83,2800,2742.5,0
01-Feb-10,2763.88,2793.29,2801.7,2748.73,0
02-Feb-10,2795.56,2830.01,2833.62,2778.11,0
03-Feb-10,2831.87,2804.61,2842.61,2799.28,0
04-Feb-10,2803.12,2707.45,2812.98,2704.95,0
05-Feb-10,2699,2631.64,2699,2631.64,0
08-Feb-10,2635.84,2664.29,2673.27,2617.77,0
09-Feb-10,2659.1,2668.43,2688.25,2643.64,0
10-Feb-10,2681.44,2700.17,2725.41,2681.44,0
11-Feb-10,2710.08,2680.25,2727.69,2653.84,0
12-Feb-10,2693.45,2674.46,2712.62,2657.39,0
15-Feb-10,2683.49,2683.83,2705.28,2676.85,0
16-Feb-10,2699.74,2720.77,2720.77,2676.49,0
17-Feb-10,2736.31,2762.25,2779.29,2736.31,0
18-Feb-10,2756.61,2778.3,2781.31,2749.43,0
19-Feb-10,2761.01,2793.37,2795.83,2747.62,0
