Country,Confirmed Cases,Number of deaths, Death rate(%)
Italy,"124,632","15,362","12.33",
Algeria,"1,251","130","10.39",
United Kingdom,"41,903","4,313","10.29",
Netherlands,"16,627","1,651","9.93",
Spain,"126,168","11,947","9.47",
Indonesia,"2,092","191","9.13",
France,"89,953","7,560","8.4",
Belgium,"18,431","1,283","6.96",
Egypt,"1,070","71","6.64",
Iran,"55,743","3,452","6.19",
Sweden,"6,443","373","5.79",
Ecuador,"3,465","172","4.96",
Dominican Republic,"1,578","77","4.88",
Philippines,"3,094","144","4.65",
Brazil,"10,360","445","4.3",
Peru,"1,746","73","4.18",
Mexico,"1,890","79","4.18",
Greece,"1,673","68","4.06",
Romania,"3,613","146","4.04",
China,"82,574","3,333","4.04",
Denmark,"4,078","161","3.95",
Switzerland,"20,505","666","3.25",
Ireland,"4,604","137","2.98",
Argentina,"1,451","43","2.96",
India,"3,588","99","2.76",
United States,"311,700","8,481","2.72",
Serbia,"1,624","44","2.71",
Ukraine,"1,251","32","2.56",
Panama,"1,801","46","2.55",
Portugal,"10,524","266","2.53",
Japan,"3,139","77","2.45",
Colombia,"1,406","32","2.28",
Poland,"3,627","79","2.18",
Turkey,"23,934","501","2.09",
South Korea,"10,237","183","1.79",
Canada,"14,018","234","1.67",
Malaysia,"3,483","57","1.64",
Austria,"11,781","186","1.58",
Pakistan,"2,880","45","1.56",
Germany,"96,092","1,444","1.5",
Czechia,"4,475","62","1.39",
Finland,"1,927","25","1.3",
Estonia,"1,039","13","1.25",
Saudi Arabia,"2,370","29","1.22",
Luxembourg,"2,729","31","1.14",
Norway,"5,645","62","1.1",
Croatia,"1,126","12","1.07",
Thailand,"2,169","23","1.06",
Russia,"4,731","43","0.91",
United Arab Emirates,"1,505","10","0.66",
Chile,"4,161","27","0.65",
Australia,"5,687","35","0.62",
Israel,"8,018","46","0.57",
South Africa,"1,585","9","0.57",
Singapore,"1,189","6","0.5",
Iceland,"1,417","4","0.28",
Qatar,"1,325","3","0.23",
New Zealand,"1,039","1","0.1",232
